Acteur,averageRating
Hayley Squires,7.9
Cab Calloway,7.9
Laurence Harvey,7.9
KÃ¥re Hedebrant,7.9
David James,7.9
Stephen Young,7.9
Lily Franky,7.9
Candela PeÃ±a,7.9
David Emge,7.9
Magali NoÃ«l,7.9
Samantha Isler,7.9
Muhammet Uzuner,7.9
Ryan O'Neal,7.866666666666667
Won Bin,7.866666666666667
Chazz Palminteri,7.866666666666667
Brenda Blethyn,7.866666666666667
Melvyn Douglas,7.85
Catherine Deneuve,7.85
Jose Coronado,7.85
Graham Greene,7.85
Taraneh Alidoosti,7.85
Preity Zinta,7.85
Warren Oates,7.85
Shahab Hosseini,7.85
Robert Ryan,7.85
Jack Warden,7.85
Aamir Khan,7.8428571428571425
Spencer Tracy,7.833333333333333
Gena Rowlands,7.833333333333333
Mia Farrow,7.825
Fernando Rey,7.800000000000001
Shameik Moore,7.800000000000001
BÃ©rÃ©nice Bejo,7.800000000000001
Dalia HernÃ¡ndez,7.8
Gerardo Taracena,7.8
Katharine Hepburn,7.8
MichÃ¨le Caucheteux,7.8
Jack Albertson,7.8
Mike Vitar,7.8
Giuseppe Battiston,7.8
Trevor Jack Brooks,7.8
Allen Garfield,7.8
Glen Hansard,7.8
Carlo Verdone,7.8
Gina Torres,7.8
MÃ­a Maestro,7.8
Katrin Cartlidge,7.8
Carl Weathers,7.8
Miori Takimoto,7.8
Edward Fox,7.8
Michelle Dockery,7.8
Liza Minnelli,7.8
Madeline Kahn,7.8
Christian Friedel,7.8
Henri Serre,7.8
Henrik LundstrÃ¶m,7.8
Annu Kapoor,7.8
Louis Hofmann,7.8
Wood Harris,7.8
Lorelei Linklater,7.8
Lola DueÃ±as,7.8
Yami Gautam,7.8
Michel Robin,7.8
Iain Rea,7.8
Hideaki Anno,7.8
Dominique McElligott,7.8
Hidetoshi Nishijima,7.8
Lillo Brancato,7.8
Hye-ja Kim,7.8
Lesley Sharp,7.8
Hudhail Al-Amir,7.8
Leonie Benesch,7.8
Magnus Millang,7.8
Malavika Mohanan,7.8
Helmut Griem,7.8
Marco Giallini,7.8
Michel Auclair,7.8
Diahnne Abbott,7.8
Michael J. Pollard,7.8
Ken Watanabe,7.8
Yeong-hie Seo,7.8
Kim Sae-ron,7.8
Kim Tae-hoon,7.8
Kim Yoon-seok,7.8
Haing S. Ngor,7.8
MarkÃ©ta IrglovÃ¡,7.8
Halina Gryglaszewska,7.8
Amitabh Bachchan,7.8
Chief Dan George,7.8
Diane Ladd,7.8
Sylvia Miles,7.8
Hart Bochner,7.8
Sylvia Hoeks,7.8
Wladyslaw Kowalski,7.8
Stanley Holloway,7.8
Corey Hawkins,7.8
Hugh Walsh,7.8
John Haycraft,7.8
Art Parkinson,7.8
Anna Foglietta,7.8
Jerome Flynn,7.8
Daniel Boulanger,7.8
Rodrigo De la Serna,7.8
Ryan Potter,7.8
Ewa FrÃ¶ling,7.8
Artyom Bogucharskiy,7.8
Jeon Gook-hwan,7.8
Judd Nelson,7.8
Jean-Claude Donda,7.8
Jean-Paul Belmondo,7.8
Joseph Vijay,7.8
Paul Raci,7.8
Vijay Sethupathi,7.8
