tconst,primaryTitle,startYear,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0073486,One Flew Over the Cuckoo's Nest,1975,8.7,956446.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073629,The Rocky Horror Picture Show,1975,7.4,139224.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073650,"SalÃ², or the 120 Days of Sodom",1975,5.9,57255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073707,Sholay,1975,8.2,53768.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0073802,Three Days of the Condor,1975,7.4,52177.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074119,All the President's Men,1976,8.0,109780.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074156,Assault on Precinct 13,1976,7.4,47431.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074285,Carrie,1976,7.4,176575.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074483,The Enforcer,1976,6.7,43761.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074486,Eraserhead,1977,7.4,109655.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074811,The Tenant,1976,7.7,42179.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074812,Logan's Run,1976,6.8,54205.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074860,Marathon Man,1976,7.4,60843.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074896,The Message,1976,8.2,45792.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0074958,Network,1976,8.1,152746.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075005,The Omen,1976,7.5,112786.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075029,The Outlaw Josey Wales,1976,7.8,70052.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075148,Rocky,1976,8.1,541308.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075314,Taxi Driver,1976,8.2,764218.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075686,Annie Hall,1977,8.0,258489.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075784,A Bridge Too Far,1977,7.4,54639.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0075860,Close Encounters of the Third Kind,1977,7.6,192509.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076618,The Rescuers,1977,6.9,61133.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076666,Saturday Night Fever,1977,6.8,76046.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076729,Smokey and the Bandit,1977,7.0,48056.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076752,The Spy Who Loved Me,1977,7.1,103533.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076759,Star Wars: Episode IV - A New Hope,1977,8.6,1280304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0076786,Suspiria,1977,7.4,87146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077402,Dawn of the Dead,1978,7.9,116144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077405,Days of Heaven,1978,7.8,55712.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077416,The Deer Hunter,1978,8.1,325323.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077631,Grease,1978,7.2,254224.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077651,Halloween,1978,7.7,248035.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077745,Invasion of the Body Snatchers,1978,7.4,56632.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077766,Jaws 2,1978,5.8,75413.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077928,Midnight Express,1978,7.6,76789.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0077975,National Lampoon's Animal House,1978,7.5,116579.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078346,Superman,1978,7.3,167189.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078446,Up in Smoke,1978,6.9,37512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078748,Alien,1979,8.4,825917.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078767,The Amityville Horror,1979,6.2,37527.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078788,Apocalypse Now,1979,8.4,631370.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078841,Being There,1979,8.0,69998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0078935,Cannibal Holocaust,1980,5.8,53269.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079116,Escape from Alcatraz,1979,7.6,127631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079261,Hair,1979,7.6,36523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079367,The Jerk,1979,7.2,55489.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079417,Kramer vs. Kramer,1979,7.8,139324.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079470,Monty Python's Life of Brian,1979,8.1,382367.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079501,Mad Max,1979,6.9,199067.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079522,Manhattan,1979,7.9,136692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079574,Moonraker,1979,6.3,95902.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079817,Rocky II,1979,7.3,199768.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0079944,Stalker,1979,8.1,126599.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
