primaryTitle,startYear,genre1,genre2,genre3,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Matrix Reloaded,2003,Action,Sci-Fi,,7.2,547777.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Matrix Revolutions,2003,Action,Sci-Fi,,6.8,472935.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Maze Runner,2014,Action,Mystery,Sci-Fi,6.8,440751.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
The Meaning of Life,1983,Comedy,Musical,,7.5,117300.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Medallion,2003,Action,Comedy,Fantasy,5.3,40645.0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Meg,2018,Action,Horror,Sci-Fi,5.6,161804.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Men Who Stare at Goats,2009,Comedy,War,,6.2,130167.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Merchant of Venice,2004,Drama,Romance,,7.0,36041.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Message,1976,Biography,Drama,History,8.2,45963.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Messenger: The Story of Joan of Arc,1999,Adventure,Biography,Drama,6.4,65612.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Messengers,2007,Drama,Horror,Mystery,5.4,39336.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
